Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000003642conf4,-6.7,38.882,37.4
6w4hpdbqt_ZINC000000003642conf4,-6.5,6.133,3.019
6w4hpdbqt_ZINC000000003642conf4,-6.5,11.451,8.692
6w4hpdbqt_ZINC000000003642conf4,-6.4,8.638,5.836
6w4hpdbqt_ZINC000000003642conf4,-6.3,6.064,3.094
6w4hpdbqt_ZINC000000003642conf5,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf5,-7.2,12.962,11.747
6w4hpdbqt_ZINC000000003642conf5,-7.0,3.557,1.884
6w4hpdbqt_ZINC000000003642conf5,-6.8,6.135,2.952
6w4hpdbqt_ZINC000000003642conf5,-6.8,13.427,11.43
6w4hpdbqt_ZINC000000003642conf5,-6.7,11.406,8.655
6w4hpdbqt_ZINC000000003642conf5,-6.7,38.952,37.462
6w4hpdbqt_ZINC000000003642conf5,-6.6,32.938,31.003
6w4hpdbqt_ZINC000000003642conf5,-6.4,4.008,2.11
6w4hpdbqt_ZINC000000003642conf6,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf6,-7.7,1.576,1.126
6w4hpdbqt_ZINC000000003642conf6,-7.2,12.959,11.714
6w4hpdbqt_ZINC000000003642conf6,-6.9,13.118,11.164
6w4hpdbqt_ZINC000000003642conf6,-6.7,6.159,2.987
6w4hpdbqt_ZINC000000003642conf6,-6.7,11.412,8.806
6w4hpdbqt_ZINC000000003642conf6,-6.5,10.82,8.344
6w4hpdbqt_ZINC000000003642conf6,-6.4,37.465,35.853
6w4hpdbqt_ZINC000000003642conf6,-6.3,11.84,9.165
6w4hpdbqt_ZINC000000003642conf7,-8.1,0.0,0.0
6w4hpdbqt_ZINC000000003642conf7,-7.6,1.99,1.354
6w4hpdbqt_ZINC000000003642conf7,-6.9,1.78,1.392
6w4hpdbqt_ZINC000000003642conf7,-6.8,6.033,2.959
6w4hpdbqt_ZINC000000003642conf7,-6.6,11.677,8.894
6w4hpdbqt_ZINC000000003642conf7,-6.6,38.849,37.332
6w4hpdbqt_ZINC000000003642conf7,-6.5,32.718,30.345
6w4hpdbqt_ZINC000000003642conf7,-6.4,20.599,17.551
6w4hpdbqt_ZINC000000003642conf7,-6.3,11.882,9.268
6w4hpdbqt_ZINC000000003642conf8,-8.1,0.0,0.0
6w4hpdbqt_ZINC000000003642conf8,-7.8,1.869,1.276
6w4hpdbqt_ZINC000000003642conf8,-7.1,16.557,14.591
