Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000003816514conf6,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003816514conf7,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003816514conf8,-9.1,0.0,0.0
6w4hpdbqt_ZINC000003816514conf9,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003830212conf1,-6.8,0.0,0.0
6w4hpdbqt_ZINC000003830212conf2,-6.8,0.0,0.0
6w4hpdbqt_ZINC000003830212conf3,-6.7,0.0,0.0
6w4hpdbqt_ZINC000003830321conf1,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830321conf10,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003830321conf11,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003830321conf12,-8.3,0.0,0.0
6w4hpdbqt_ZINC000003830321conf2,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003830321conf3,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003830321conf4,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003830321conf5,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830321conf6,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003830321conf7,-8.5,0.0,0.0
6w4hpdbqt_ZINC000003830321conf8,-8.3,0.0,0.0
6w4hpdbqt_ZINC000003830321conf9,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf1,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf10,-8.0,0.0,0.0
6w4hpdbqt_ZINC000003830441conf11,-7.5,0.0,0.0
6w4hpdbqt_ZINC000003830441conf12,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003830441conf13,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003830441conf2,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf3,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf4,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003830441conf5,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003830441conf6,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf7,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830441conf8,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003830441conf9,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003830945conf1,-7.1,0.0,0.0
6w4hpdbqt_ZINC000003830945conf10,-7.0,0.0,0.0
6w4hpdbqt_ZINC000003830945conf11,-7.5,0.0,0.0
6w4hpdbqt_ZINC000003830945conf12,-7.1,0.0,0.0
6w4hpdbqt_ZINC000003830945conf13,-6.8,0.0,0.0
6w4hpdbqt_ZINC000003830945conf14,-7.2,0.0,0.0
6w4hpdbqt_ZINC000003830945conf2,-7.2,0.0,0.0
6w4hpdbqt_ZINC000003830945conf3,-7.5,0.0,0.0
6w4hpdbqt_ZINC000003830945conf4,-7.0,0.0,0.0
6w4hpdbqt_ZINC000003830945conf5,-7.2,0.0,0.0
6w4hpdbqt_ZINC000003830945conf6,-7.3,0.0,0.0
6w4hpdbqt_ZINC000003830945conf7,-7.2,0.0,0.0
6w4hpdbqt_ZINC000003830945conf8,-7.3,0.0,0.0
6w4hpdbqt_ZINC000003830945conf9,-7.5,0.0,0.0
6w4hpdbqt_ZINC000003830990conf1,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003830990conf2,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003830990conf3,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003830990conf4,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003830990conf5,-5.7,0.0,0.0
6w4hpdbqt_ZINC000003830990conf6,-5.8,0.0,0.0
6w4hpdbqt_ZINC000003830990conf7,-5.9,0.0,0.0
6w4hpdbqt_ZINC000003830990conf8,-5.9,0.0,0.0
6w4hpdbqt_ZINC000003830990conf9,-6.2,0.0,0.0
6w4hpdbqt_ZINC000003871923conf1,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003871923conf2,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003871923conf3,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003871923conf4,-8.5,0.0,0.0
6w4hpdbqt_ZINC000003871923conf5,-8.3,0.0,0.0
6w4hpdbqt_ZINC000003871923conf6,-8.0,0.0,0.0
6w4hpdbqt_ZINC000003871923conf7,-8.3,0.0,0.0
6w4hpdbqt_ZINC000003871923conf8,-8.6,0.0,0.0
6w4hpdbqt_ZINC000003872994conf1,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003872994conf10,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003872994conf2,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003872994conf3,-7.8,0.0,0.0
6w4hpdbqt_ZINC000003872994conf4,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003872994conf5,-7.9,0.0,0.0
